time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,shortwave_radiation_sum,precipitation_sum,es,ea,vpd,delta,giorno_anno,ra,rso,rns,rapporto_nuvolosita,rnl,rn,u2,et0,giorni_da_semina,kc,etc
2024-06-01,24.8,11.3,18.2,68,14.2,26.1,0.1,2.234678689356439,1.5195815087623787,0.7150971805940605,0.1312062960674706,153,41.224855704053034,30.955744148173423,20.097,0.8431391561795183,4.668205681244562,15.42879431875544,10.620905267384806,5.449594536398307,37,0.7371428571428571,4.017129686830752
2024-06-02,22.5,13.6,17.7,82,21.5,20.37,8.6,2.141582973833382,1.756098038543373,0.38548493529000893,0.127643087251594,154,41.298940645007264,31.011374530335956,15.6849,0.6568557604589134,2.92772081913018,12.757179180869821,16.0809481161108,3.476475543824464,38,0.7628571428571427,2.652054200574662
2024-06-03,22.9,14.3,18.3,80,10.8,21.32,6.9,2.2112418535311984,1.7689934828249587,0.4422483707062397,0.13192895965572127,155,41.368838603425864,31.06386090731248,16.4164,0.6863280795524435,3.154311855682615,13.262088144317385,8.077871611813798,3.795148586658027,39,0.7885714285714285,2.992745742621758
2024-06-04,25.0,14.2,18.9,81,9.7,23.22,2.2,2.39362454396611,1.9388358806125492,0.4547886633535607,0.1363361485483887,156,41.43453876611859,31.11319515947845,17.8794,0.7463071497793811,3.4423170854402922,14.437082914559708,7.255125429129057,4.027678361895853,40,0.8142857142857143,3.27968095182948
2024-06-05,25.8,14.9,20.7,78,8.0,25.73,0.0,2.508150283078935,1.9563572208015694,0.5517930622773657,0.15031318408423214,157,41.49603108965564,31.15936974522242,19.8121,0.8257548278538307,4.020620271619068,15.791479728380933,5.983608601343553,4.655537358247597,41,0.8399999999999999,3.910651380927981
2024-06-06,27.2,15.9,21.2,76,9.2,26.33,0.0,2.707046715779133,2.057355503992141,0.6496912117869917,0.1544040611111723,158,41.55330630044604,31.20237770100493,20.2741,0.8438459482897674,4.071858099224077,16.202241900775924,6.8811498915450855,5.122113451121763,42,0.8657142857142857,4.434286787685411
2024-06-07,27.6,16.9,22.5,77,8.4,25.73,0.0,2.8091327813791658,2.163032241661958,0.6461005397172079,0.16548316037309999,159,41.606355895345246,31.242212641814746,19.8121,0.8235652287175983,3.8219836855493905,15.99011631445061,6.282789031410731,5.079571317614033,43,0.8914285714285715,4.528075003130224
2024-06-08,27.5,18.3,23.1,78,13.2,20.59,0.1,2.8872576470681794,2.25206096471318,0.6351966823549993,0.17081860611256544,160,41.655172142687,31.27886876194367,15.8543,0.6582718881781112,2.6396835958000517,13.214616404199948,9.872954192216861,4.750316860696374,44,0.917142857142857,4.35671917795296
2024-06-09,26.5,18.5,21.9,82,13.4,17.52,13.8,2.7959298310399925,2.2926624614527937,0.5032673695871988,0.1602891009586542,161,41.69974808363468,31.312340836001283,13.4904,0.5595238021890853,1.946342268167143,11.544057731832856,10.022544407250452,3.9207791468824067,45,0.9428571428571428,3.696734624203412
2024-06-10,26.0,17.9,21.2,82,14.2,21.47,19.5,2.706243523807001,2.2191196895217407,0.4871238342852604,0.1544040611111723,162,41.74007753374754,31.342624220091025,16.5319,0.6850096484976983,2.8127070429992354,13.719192957000764,10.620905267384806,4.153769525146272,46,0.9685714285714284,4.023222482927388
2024-06-11,25.0,17.0,20.1,80,15.5,19.12,11.2,2.5527535346886463,2.042202827750917,0.5105507069377291,0.14552546018733548,163,41.77615508465933,31.36971485307069,14.7224,0.6095050621133842,2.4316547228414866,12.290745277158514,11.593241665103134,4.0859556247537645,47,0.9942857142857142,4.062607306898029
2024-06-12,23.0,15.9,18.3,86,14.8,19.36,12.9,2.3080713757149107,1.9849413831148233,0.32312999260008746,0.13192895965572127,164,41.807976105770074,31.39360925782275,14.9072,0.6166860216996496,2.478105521674547,12.429094478325453,11.069675912485573,3.124423369158835,48,1.02,3.1869118365420115
2024-06-13,22.1,14.8,17.8,78,11.9,23.2,4.0,2.1718004315651953,1.6940043366208524,0.47779609494434294,0.1283490893420019,165,41.83553674585589,31.41430454246319,17.864,0.7385170653273642,3.6228214655958224,14.241178534404177,8.900617794498535,4.088249578241496,49,1.0457142857142856,4.275140987532535
2024-06-14,24.8,14.0,19.4,73,10.8,22.72,0.2,2.3644200393691612,1.7260266287394876,0.6383934106296736,0.1401034503070449,166,41.85883393450717,31.431798401421432,17.4944,0.7228348728201482,3.5154691635018502,13.978930836498149,8.077871611813798,4.762033460207881,50,1.0714285714285714,5.102178707365587
